Date,Adj Close
"January 01, 2019",466.05
"January 08, 2019",466.1
"January 15, 2019",475.53
"January 22, 2019",463.54
"January 29, 2019",475.58
"February 05, 2019",473.14
"February 12, 2019",461.48
"February 19, 2019",470.77
"February 26, 2019",468.83
"March 05, 2019",481.7
"March 12, 2019",495.24
"March 19, 2019",491.52
"March 26, 2019",505.33
"April 02, 2019",503.11
"April 09, 2019",505.78
"April 16, 2019",502.39
"April 23, 2019",507.88
"April 30, 2019",501.8
"May 7, 2019",482.18
"May 14, 2019",511.58
"May 21, 2019",515.88
"May 28, 2019",523.48
"June 04, 2019",517.2
"June 11, 2019",506.49
"June 18, 2019",508.6
"June 25, 2019",515.92
"July 02, 2019",503.37
"July 09, 2019",505.66
"July 16, 2019",494.4
"July 23, 2019",489.92
"July 30, 2019",477.1
"August 06, 2019",488.56
"August 13, 2019",486.23
"August 20, 2019",487.42
"August 27, 2019",485.33
"September 03, 2019",482.89
"September 10, 2019",482.6
"September 17, 2019",508.17
"September 24, 2019",502.68
"October 01, 2019",487.92
"October 08, 2019",496.79
"October 15, 2019",510.88
"October 22, 2019",507.75
"October 29, 2019",523.93
"November 05, 2019",524.49
"November 12, 2019",523.69
"November 19, 2019",531.56
"November 26, 2019",530.43
"December 03, 2019",526.34
"December 10, 2019",532.2
"December 17, 2019",541.35
"December 24, 2019",540.25
"December 31, 2019",528.8
"January 07, 2020",544.18
"January 14, 2020",539.88
"January 21, 2020",535.02
"January 28, 2020",518.34
"February 04, 2020",532.74
"February 11, 2020",533.72
"February 18, 2020",524.72
"February 25, 2020",495.87
"March 03, 2020",463.25
"March 10, 2020",408.07
"March 17, 2020",337.76
"March 24, 2020",369.72
"March 31, 2020",358.68
"April 07, 2020",398.97
"April 14, 2020",411.42
"April 21, 2020",412.66
"April 28, 2020",412.3
"May 5, 2020",410.3
"May 12, 2020",390.38
"May 19, 2020",398.74
"May 26, 2020",432.95
"June 02, 2020",446.82
"June 09, 2020",431.97
"June 16, 2020",453.85
"June 23, 2020",454.5
"June 30, 2020",474.33
"July 07, 2020",477.02
"July 14, 2020",486.45
"July 21, 2020",493.15
"July 28, 2020",480.21
"August 04, 2020",496.37
"August 11, 2020",494.66
"August 18, 2020",504.39
"August 25, 2020",502.17
"September 01, 2020",499.42
"September 08, 2020",503.84
"September 15, 2020",494.44
"September 22, 2020",493.76
"September 29, 2020",506.66
"October 06, 2020",527.72
"October 13, 2020",525.61
"October 20, 2020",521.89
"October 27, 2020",516.85
"November 03, 2020",553.77
"November 10, 2020",564.76
"November 17, 2020",573.0
"November 24, 2020",573.95
"December 01, 2020",590.55
"December 08, 2020",601.29
"December 15, 2020",592.2
"December 22, 2020",615.6
"December 29, 2020",626.3
"January 05, 2021",640.5
"January 12, 2021",631.34
"January 19, 2021",628.52
"January 26, 2021",631.81
"February 02, 2021",667.53
"February 09, 2021",678.0
"February 16, 2021",646.68
"February 23, 2021",648.05
"March 02, 2021",655.73
"March 09, 2021",655.14
"March 16, 2021",647.03
"March 23, 2021",637.11
"March 30, 2021",639.07
"April 06, 2021",622.48
"April 13, 2021",623.34
"April 20, 2021",629.02
"April 27, 2021",633.34
"May 4, 2021",643.53
"May 11, 2021",644.55
"May 18, 2021",658.47
"May 25, 2021",675.19
"June 01, 2021",675.15
