Date,Adj Close
"January 1, 2019",16505.82
"January 8, 2019",17005.32
"January 15, 2019",17281.8
"January 22, 2019",17179.92
"January 29, 2019",17746.02
"February 5, 2019",16994.34
"February 12, 2019",17371.8
"February 19, 2019",17503.2
"February 26, 2019",17028.72
"March 5, 2019",17644.86
"March 12, 2019",17998.92
"March 19, 2019",16859.16
"March 26, 2019",17289.72
"April 2, 2019",17526.42
"April 9, 2019",16754.94
"April 16, 2019",17025.84
"April 23, 2019",17313.84
"April 30, 2019",17101.62
"May 7, 2019",16510.86
"May 14, 2019",16550.28
"May 21, 2019",17075.52
"May 28, 2019",17463.6
"June 4, 2019",17544.06
"June 11, 2019",17572.14
"June 18, 2019",18371.16
"June 25, 2019",18241.2
"July 2, 2019",18815.4
"July 9, 2019",18684.54
"July 16, 2019",18710.82
"July 23, 2019",18626.94
"July 30, 2019",18017.64
"August 6, 2019",18344.7
"August 13, 2019",17904.42
"August 20, 2019",17357.4
"August 27, 2019",18112.68
"September 3, 2019",18572.58
"September 10, 2019",18662.4
"September 17, 2019",18834.84
"September 24, 2019",18854.1
"October 1, 2019",18103.14
"October 8, 2019",18774.36
"October 15, 2019",19083.96
"October 22, 2019",19473.66
"October 29, 2019",19548.18
"November 5, 2019",19478.7
"November 12, 2019",19142.46
"November 19, 2019",19516.32
"November 26, 2019",19630.98
"December 3, 2019",19975.86
"December 10, 2019",20141.28
"December 17, 2019",20855.34
"December 24, 2019",20873.52
"December 31, 2019",21038.04
"January 7, 2020",21118.5
"January 14, 2020",21395.16
"January 21, 2020",20606.76
"January 28, 2020",20633.22
"February 4, 2020",20262.6
"February 11, 2020",20755.62
"February 18, 2020",20462.58
"February 25, 2020",19192.5
"March 3, 2020",15492.06
"March 10, 2020",12810.24
"March 17, 2020",11442.6
"March 24, 2020",13435.2
"March 31, 2020",13333.14
"April 7, 2020",14190.48
"April 14, 2020",14215.14
"April 21, 2020",14083.02
"April 28, 2020",14197.68
"May 5, 2020",14231.7
"May 12, 2020",14614.92
"May 19, 2020",15419.34
"May 26, 2020",15951.6
"June 2, 2020",17576.1
"June 9, 2020",16627.68
"June 16, 2020",17160.48
"June 23, 2020",17232.3
"June 30, 2020",17808.66
"July 7, 2020",17765.46
"July 14, 2020",18796.68
"July 21, 2020",18805.86
"July 28, 2020",18509.4
"August 4, 2020",18619.92
"August 11, 2020",17927.1
"August 18, 2020",18413.64
"August 25, 2020",17886.42
"September 1, 2020",18223.56
"September 8, 2020",18049.5
"September 15, 2020",17458.38
"September 22, 2020",17039.88
"September 29, 2020",17296.02
"October 6, 2020",17546.94
"October 13, 2020",17758.44
"October 20, 2020",18183.06
"October 27, 2020",16911.36
"November 3, 2020",18704.34
"November 10, 2020",19157.4
"November 17, 2020",19328.22
"November 24, 2020",19599.84
"December 1, 2020",20452.5
"December 8, 2020",20695.5
"December 15, 2020",20882.88
"December 22, 2020",21429.18
"December 29, 2020",21340.44
"January 5, 2021",22105.26
"January 12, 2021",21823.56
"January 19, 2021",21090.96
"January 26, 2021",21125.7
"February 2, 2021",21512.88
"February 9, 2021",21440.88
"February 16, 2021",20280.24
"February 23, 2021",19860.3
"March 2, 2021",19910.16
"March 9, 2021",20673.18
"March 16, 2021",20696.22
"March 23, 2021",20775.42
"March 30, 2021",21153.24
"April 6, 2021",21386.16
"April 13, 2021",21768.12
"April 20, 2021",21707.1
"April 27, 2021",21457.62
"May 4, 2021",21943.62
"May 11, 2021",22128.84
"May 18, 2021",22325.76
"May 25, 2021",22718.88
"June 1, 2021",23088.06
